Unnamed: 0,Organisation,Location,Date,Detail,Rocket_Status,Price,Mission_Status
0,Rocket Lab,"Rocket Lab LC-1B, Māhia Peninsula, New Zealand","Fri Oct 07, 2022 17:09 UTC",Electron/Curie | It Argos Up From Here,Active,7.5,Success
1,CASC,"DeBo 3 Barge, Yellow Sea","Fri Oct 07, 2022 13:10 UTC",Long March 11H | CentiSpace-1 S5 & S6,Active,5.3,Success
2,SpaceX,"SLC-4E, Vandenberg SFB, California, USA","Wed Oct 05, 2022 23:10 UTC",Falcon 9 Block 5 | Starlink Group 4-29,Active,67.0,Success
3,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA","Wed Oct 05, 2022 16:00 UTC",Falcon 9 Block 5 | SpaceX Crew-5,Active,67.0,Success
4,ULA,"SLC-41, Cape Canaveral SFS, Florida, USA","Tue Oct 04, 2022 21:36 UTC",Atlas V 531 | SES-20 & SES-21,Active,140.0,Success
5,Firefly,"SLC-2W, Vandenberg SFB, California, USA","Sat Oct 01, 2022 07:01 UTC",Firefly Alpha | To The Black,Active,15.0,Partial Failure
6,CASC,"LC-16, Taiyuan Satellite Launch Center, China","Mon Sep 26, 2022 23:50 UTC",Long March 6 | Shiyan 16 A/B & Shiyan 17,Active,19.0,Success
7,CASC,"LC-3, Xichang Satellite Launch Center, China","Mon Sep 26, 2022 13:38 UTC",Long March 2D | Yaogan 36,Active,29.75,Success
8,SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA","Sat Sep 24, 2022 23:32 UTC",Falcon 9 Block 5 | Starlink Group 4-35,Active,67.0,Success
9,CASIC,"Taiyuan Satellite Launch Center, China","Sat Sep 24, 2022 22:55 UTC",Kuaizhou 1A | Shiyan 14 & Shiyan 15,Active,5.8,Success
10,ULA,"SLC-6, Vandenberg SFB, California, USA","Sat Sep 24, 2022 22:25 UTC",Delta IV Heavy | NROL-91,Active,350.0,Success
11,Roscosmos,"Site 31/6, Baikonur Cosmodrome, Kazakhstan","Wed Sep 21, 2022 13:54 UTC",Soyuz 2.1a | Soyuz MS-22,Active,17.42,Success
12,CASC,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China","Tue Sep 20, 2022 23:15 UTC",Long March 2D | Yunhai-1 03,Active,29.75,Success
13,SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA","Mon Sep 19, 2022 00:18 UTC",Falcon 9 Block 5 | Starlink Group 4-34,Active,67.0,Success
14,Rocket Lab,"Rocket Lab LC-1B, Māhia Peninsula, New Zealand","Thu Sep 15, 2022 20:38 UTC",Electron/Curie | The Owl Spreads Its Wings,Active,7.5,Success
